scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"cpu-throttle","2026-04-18T05:50:17.520Z","fault","25","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","120",""
"cpu-throttle","2026-04-18T05:50:17.519Z","fault","25","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","119",""
"cpu-throttle","2026-04-18T05:50:17.713Z","fault","25","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","313",""
"cpu-throttle","2026-04-18T05:50:17.704Z","fault","25","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","304",""
"cpu-throttle","2026-04-18T05:50:19.401Z","fault","26","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:19.412Z","fault","26","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","12",""
"cpu-throttle","2026-04-18T05:50:19.413Z","fault","26","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","13",""
"cpu-throttle","2026-04-18T05:50:19.519Z","fault","26","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","119",""
"cpu-throttle","2026-04-18T05:50:19.518Z","fault","26","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","118",""
"cpu-throttle","2026-04-18T05:50:19.713Z","fault","26","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","313",""
"cpu-throttle","2026-04-18T05:50:19.703Z","fault","26","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","303",""
"cpu-throttle","2026-04-18T05:50:21.401Z","fault","27","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:21.414Z","fault","27","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","14",""
"cpu-throttle","2026-04-18T05:50:21.415Z","fault","27","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","14",""
"cpu-throttle","2026-04-18T05:50:21.604Z","fault","27","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","204",""
"cpu-throttle","2026-04-18T05:50:21.603Z","fault","27","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","203",""
"cpu-throttle","2026-04-18T05:50:21.807Z","fault","27","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","407",""
